Version	Name	Genre	Artist	bpm	☆N7	☆H7	☆A7	☆D7	☆N14	☆H14	☆A14	☆D14	N7	H7	A7	D7	N14	H14	A14	D14
7	Wow Wow 70's	DISCO	sampling masters AYA	126	4	5	0	-	5	7	-	-	381	433	529	-	462	644	-	-
7	Y31	RAVE	tiger YAMATO	168	6	8	9	-	5	8	11	-	657	793	969	-	645	887	1075	-
7	YESTERDAY	SUPER EUROBEAT	CHERRY	158	4	6	0	-	5	6	0	-	530	730	899	-	605	730	926	-
7	こっちを向いてよ	SOUL	vivi	128	5	6	7	-	6	9	11	-	438	667	703	-	625	767	1127	-
7	電人イェーガーのテーマ(Theme of DENJIN J)	NU-NRG	L.E.D.	155	5	7	0	-	8	10	-	-	563	796	833	-	700	835	-	-
8	2002	RAVE	tiger YAMATO	132	4	5	7	-	4	5	-	-	423	649	746	-	423	653	-	-
8	9 o'clocks	FAKE JAZZ	SYMPHONIC DEFOGGERS	95	4	7	0	-	5	7	-	-	409	554	816	-	477	632	-	-
8	A	RENAISSANCE	D.J.Amuro	93-191	6	10	12	-	8	12	12	-	666	1111	1260	-	613	1119	1343	-
8	AVE DE RAPINA	ALTERNATIVE HOUSE	Shawn The Horny Master	125	6	8	9	-	8	10	-	-	713	882	934	-	948	1113	-	-
8	Bad Routine	FILTER HOUSE	D.J. Spugna	130	5	7	9	-	6	7	9	-	522	716	964	-	566	716	1072	-
8	BRING HER DOWN	TRIBAL BASS	AKIRA YAMAOKA	131	5	7	9	-	7	10	-	-	533	745	900	-	751	1010	-	-
8	Burning Heat! (FULL OPTION MIX)	12 BEAT	Mr.T with Motoaki.F	166	3	5	7	-	4	5	9	-	361	494	755	-	359	496	789	-
8	BURNING UP FOR YOU	SUPER EUROBEAT	SARA	156	2	4	0	-	4	5	0	-	208	421	735	-	521	600	727	-
8	Cheer Train	BIG BEAT	Fuzita Blender	120	5	6	9	-	4	6	12	-	470	623	880	-	468	623	1307	-
8	CLOUDY MUSIC	DRUM'N'BASS	SLAKE	190	5	7	-	-	5	8	-	-	422	620	-	-	422	619	-	-
8	D2R	HYPER ROCK BEAT	NAOKI	160	5	6	8	-	5	6	-	-	494	671	823	-	525	665	-	-
8	DESTINY	HYPER EUROBEAT	NAOKI feat.Paula Terry	155	5	6	8	-	5	6	-	-	546	700	925	-	575	700	-	-
8	E.V CAFE	SOUL	reo nagumo feat.hajime.y	125	4	5	0	-	4	5	-	-	425	611	790	-	423	611	-	-
8	entrance	TECHNO	Kobo project with Masa	180	5	8	9	-	6	8	10	-	480	740	845	-	648	778	1150	-
8	foreplay	PROGRESSIVE JAZZ	Osamu Kubota	140	4	8	8	-	5	9	11	-	357	631	684	-	361	630	979	-
8	General Relativity	UK GARAGE/2-STEP	SYMPHONIC DEFOGGERS	142	3	6	7	-	6	7	8	-	416	527	606	-	598	767	940	-
8	Glorious Days	HIP HOP & SOUL	Noria	40-83	3	5	6	-	6	7	-	-	262	411	463	-	395	461	-	-
8	Gravity	BIG BEAT	TaQ	125	5	7	-	-	8	10	-	-	628	820	-	-	785	1013	-	-
8	Happy Wedding	HOUSE	ASKA	126	6	7	8	-	6	8	10	-	620	872	940	-	610	899	1061	-
8	HEARTBEAT	SUPER EUROBEAT	NATHALIE	155	5	8	0	-	4	7	-	-	494	802	807	-	494	807	-	-
8	i feel ...	TRANCE	AKIRA YAMAOKA	141	4	5	7	-	4	5	-	-	454	556	626	-	527	556	-	-
8	Last Message	EUROBEAT	good-cool feat.meg	155	5	8	9	-	6	10	11	-	513	682	819	-	675	748	1111	-
8	Let the Snow Paint Me	AMBIENT POP	Sana	130	4	6	7	-	6	7	-	-	431	537	624	-	485	559	-	-
8	LOVE GENERATION	SUPER EUROBEAT	SUZY LAZY	152	5	7	0	-	5	7	-	-	500	743	881	-	576	735	-	-
8	Love Me Do	NEW WAVE	AKIRA YAMAOKA	167	5	7	9	-	5	7	-	-	571	857	1058	-	577	899	-	-
8	Marmalade Reverie	YEYE	Orange Lounge	170	4	5	7	-	6	7	9	-	436	504	638	-	580	704	921	-
8	MAX 300	HARDCORE TECHNO	Ω	12-300	8	10	-	-	6	10	-	-	571	982	-	-	566	982	-	-
8	more deep[ver.2.1]	2STEP	Togo project feat. Sana	133	3	5	0	-	4	6	-	-	370	557	594	-	409	561	-	-
8	Never Look Back	TRANCE	DuMonde	140	5	7	-	-	6	7	-	-	527	714	-	-	570	713	-	-
8	New York	LIBRALY BEATS	Fuzita Blender	136	3	4	0	-	4	5	0	-	338	388	678	-	453	657	792	-
8	REMEMBER ME	SUPER EUROBEAT	LESLIE PARRISH	152	5	7	-	-	4	7	-	-	460	793	-	-	458	784	-	-
8	Secret Tale	SOFT ROCK	dj nagureo feat.asuka.m	158	3	5	7	-	4	5	-	-	396	572	750	-	422	580	-	-
8	SOLID GOLD	SUPER EUROBEAT	DUSTY	158	5	6	0	-	5	6	0	-	605	780	865	-	616	767	853	-
8	Somebody Like You	POPS	good-cool	125	5	7	0	-	5	6	0	-	453	678	761	-	560	609	741	-
8	Spica	HOUSE	D.JW	128	4	9	12	-	3	9	12	-	328	772	1167	-	327	782	1203	-
8	Spooky	HARD HOUSE	good-cool	140-455	5	6	8	-	8	9	-	-	561	709	833	-	753	909	-	-
8	stoic	TECHNO	TaQ	155	8	10	12	-	8	10	12	-	874	1250	1302	-	874	1126	1497	-
8	The Beauty Of Silence	TRANCE	Svenson & Gielen	140	5	6	0	-	4	6	-	-	442	642	819	-	442	642	-	-
8	The Sound Of Goodbye	TRANCE	Armin van Burren Presents P.D.	140	4	7	0	-	4	7	-	-	477	708	963	-	475	668	-	-
8	Tomorrow Perfume	TRANCE	dj TAKA	144	6	9	9	-	6	10	11	-	685	1000	1085	-	729	1212	1311	-
8	traces	TRANCE	TaQ	152	6	9	10	-	7	9	10	-	778	982	1083	-	762	901	1071	-
8	ZERO-ONE	ELECTROSHOCK	Mr.T	160	5	9	10	-	5	8	10	-	556	874	1132	-	556	874	1169	-
8	革命	ORCHESTRAL	dj TAKA with NAOKI	83-148	6	10	10	-	7	12	12	-	392	1004	1183	-	702	1209	1401	-
9	abstract	BIG BEAT	TaQ	125	6	9	9	-	7	9	-	-	659	831	960	-	662	950	-	-
9	airflow	INSTRUMENTAL	Mr.T	40-148	3	5	7	-	3	6	7	-	295	402	721	-	293	402	721	-
9	ALIEN WORLD	PSYCHEDELIC TRANCE	PINK PONG	145	5	6	7	-	4	5	7	-	473	582	722	-	528	616	790	-
9	ALL RIGHT	DRUM'N'BASS	RAM	180	4	8	9	-	7	8	10	-	446	658	815	-	501	720	860	-
9	Attitude	TRANCE	Y&Co.	145	5	8	9	-	5	7	9	-	527	721	881	-	578	707	881	-
9	bit mania	テクノ歌謡	AKIRA YAMAOKA	148	4	5	8	-	5	6	-	-	458	643	934	-	536	643	-	-
9	Blame	EUROBEAT	good-cool feat. Jeff Coote	155	6	7	11	-	6	8	10	-	611	796	980	-	614	745	1105	-
9	Blown My Heart Away	80's EUROBEAT	good-cool feat. Jeff Coote	124	4	5	7	-	5	7	-	-	422	572	824	-	602	695	-	-
9	CELEBRATE NITE	EURO GROOVE	N.M.R.	144	5	6	8	-	5	7	8	-	471	591	714	-	471	632	731	-
9	Colors-Y&Co.Eurobeat Remix-	EUROBEAT	dj TAKA (remixed by 横田商会)	155	5	9	10	-	6	10	10	-	585	1029	1100	-	663	1068	1100	-
9	DANCER	NU SKOOL	DE VOL	145-149	4	5	7	-	4	6	8	-	444	522	712	-	547	634	845	-
9	dissolve	TRANCE	kobo	140	5	7	8	-	5	9	-	-	491	658	784	-	576	761	-	-
9	Drivin'	HYPER EUROBEAT	NAOKI feat.Paula Terry	155	4	7	10	-	4	6	9	-	465	663	897	-	482	650	799	-
9	dual control	GARAGE HOUSE	Mr.T	131-140	5	8	9	-	4	8	9	-	403	763	961	-	403	756	854	-
9	FLUTE MAN	DEEP HOUSE	SPARKER	130	4	7	8	-	5	8	9	-	299	465	553	-	376	472	553	-
9	Foundation of our love	TRANCE	dj TAKA feat. ASAKO	140	2	6	7	-	2	9	10	-	232	672	817	-	232	781	816	-
9	FUNKY BINGO PARADISE	ELECTRO	SAWASAKI YOSHIHIRO	133	5	6	0	-	5	6	0	-	457	748	855	-	594	767	856	-
9	Giudecca	PSYCHEDELIC TECHNO	D.J.SETUP	155	4	9	11	-	5	10	11	-	470	1016	1381	-	600	1129	1392	-
9	Halfway of promise	GIRL ROCK	Yu Takami feat. Shihori Nakane	140	4	8	11	-	5	8	10	-	481	781	940	-	638	779	1157	-
9	Hormiga obrera	ALTERNATIVE HOUSE	Shawn The Horny Master	130	5	7	8	-	6	8	9	-	613	764	913	-	736	959	1055	-
9	HYPER BOUNDARY GATE	GOA TRANCE	L.E.D.	152	5	7	0	-	6	8	-	-	620	977	1115	-	625	977	-	-
9	I.C.F.5800	ELECTRO	Reo Nagumo feat. Mayumi Shizawa*	172	4	7	0	-	5	6	0	-	513	831	911	-	624	805	1027	-
9	jelly kiss	A.O.R.	Togo project feat. Sana	135	4	5	8	-	5	7	8	-	373	552	656	-	503	682	682	-
9	LAB	RAVE	RAM	180	5	9	10	11	5	10	11	-	534	1029	1075	1380	547	1014	1255	-
9	LOVE IS ORANGE	HARD CHANSON	Orange Lounge	180	4	6	8	10	4	5	9	-	399	519	903	1059	456	570	1034	-
9	Luv 2 Feel Your Body	2 STEP	Shoichiro Hirata	134	4	5	8	-	6	9	10	-	437	542	839	-	552	703	945	-
9	memories	BEAT ROCK	TAKA	188	5	9	9	-	5	10	11	-	578	1056	1157	-	578	1122	1274	-
9	Monkey Dance	EUROBEAT	Y&Co.	155	4	7	9	-	5	6	9	-	413	690	997	-	554	689	955	-
9	murmur twins	CUDDLECORE	yu_tokiwa.djw	174	5	9	11	-	5	10	12	-	567	854	1207	-	589	924	1188	-
9	MUSIC TO YOUR HEAD	TECHNO	SLAKE	144	4	7	9	-	8	8	9	-	415	743	849	-	628	769	849	-
9	OUTER LIMITS	HARDCORE BREAKBEATS	L.E.D.-G	171	5	8	10	-	7	10	11	-	457	870	1363	-	672	986	1431	-
9	PLEASE DON'T GO	DISCO	ASLETICS	135	5	7	12	-	4	9	10	-	505	715	1251	-	527	798	1188	-
9	rainbow flyer	TRANCE	dj TAKA	148	5	9	11	-	4	10	11	-	422	859	1081	-	424	931	1167	-
9	Red Nikita	LATIN SWING	Osamu Kubota	140	4	8	9	-	3	8	10	-	350	684	739	-	350	673	820	-
9	Small clone	JAZZ FUNK	Yu Takami	145	3	6	0	-	5	7	-	-	369	587	622	-	498	622	-	-
9	Smoke	NU-FUSION	Aya	160	4	8	10	-	5	8	10	-	383	713	879	-	521	713	929	-
9	SPEED TRANCE MACH 3	TECHNO	SAWASAKI YOSHIHIRO	140	3	7	0	-	6	7	0	-	347	721	770	-	552	747	765	-
9	STAR DREAM	TRANCE	PINK PONG	148	5	7	9	-	7	8	-	-	396	677	725	-	592	731	-	-
9	Stick Around	2 STEP	Megu with Scotty D.	134	2	3	0	-	3	5	-	-	263	296	483	-	327	441	-	-
9	symbolic	TECHNO	TaQ	155	6	9	10	-	8	10	-	-	734	952	1138	-	936	1152	-	-
9	thunder	HOUSE	Lion MUSASHI	135	6	8	9	-	5	9	11	-	609	817	959	-	608	944	1126	-
9	TRIBAL MASTER	ROCKET BEATS	NAPAKICK	130	4	6	0	-	5	6	0	-	464	643	794	-	478	642	770	-
9	V35	TRANCE	tiger YAMATO	148	4	6	8	-	5	6	10	-	514	746	1000	-	512	744	1095	-
9	WAR GAME	HIP HOP	ASLETICS	93	4	8	10	-	4	7	10	-	488	789	1077	-	496	820	1044	-
9	World Wide Love	POPS	MTO	122	3	5	5	-	4	5	-	-	353	526	559	-	454	560	-	-
9	xenon	ELECTROSHOCK	Mr.T	158	5	9	11	-	5	8	11	-	570	867	1379	-	563	865	1379	-
9	合体せよ！ストロングイェーガー！！	NU-NRG	L.E.D.	155	6	7	10	-	8	10	9	-	811	879	1127	-	822	879	1012	-
9	夜のサングラス	METAL HOUSE	School good-cool feat. すわひでお)	125	5	6	8	-	6	8	-	-	543	666	968	-	645	906	-	-
9	桜	SPIRITUAL	Reven-G	13-320	7	10	12	-	8	10	12	-	541	819	1123	-	605	819	1047	-
9	蒼い衝動	J-TRANCE	NAOKI feat. YUKI	145	5	7	8	-	5	6	9	-	468	694	803	-	524	685	795	-
10	Abyss -The Heavens Remix-	TRANCE CORE	dj TAKA Remixed by Ryu*	171	7	10	10	11	7	9	10	11	766	938	1188	1637	803	1036	1102	1557
10	ACT	RAVE	RAM	180	6	9	9	-	6	9	10	-	532	864	935	-	637	890	1005	-
10	ADVANCE	ELECTRONICA	SLAKE	100	4	6	7	-	5	6	7	-	241	444	673	-	370	579	620	-
10	ATOMIC AGE	ENSEMBLE	SHUNZZY	130	2	8	9	-	1	8	-	-	185	362	628	-	185	358	-	-
10	BAD BOY BASS!!(dj Remo-con MIX)	NRG	Y&Co.	148	5	7	8	-	4	7	-	-	468	714	908	-	468	708	-	-
10	bag	SPIRITUAL	Reven-G	130	5	6	10	-	6	9	10	-	468	621	963	-	636	912	1023	-
10	Be Rock U(1998 burst style)	ULTRA ROCK BEAT	NAOKI	150	4	7	9	-	4	7	-	-	442	691	936	-	442	691	-	-
10	BREEDING	TECHNO	SLAKE	150	4	6	7	-	5	6	6	-	439	732	778	-	584	714	732	-
10	BRIGHTNESS DARKNESS	ROCOCO TEK	SPARKER	150	3	8	9	-	3	8	10	-	363	750	889	-	381	825	984	-
10	CHARLOTTE	FRENCH BOSSA	Db.saka feat. Piasa	150	3	4	7	-	3	4	10	-	326	444	732	-	348	485	997	-
10	Cradle	HEALIN' HARDCORE	positive MA feat. akino	160-188	5	8	10	-	6	10	-	-	466	751	803	-	617	784	-	-
10	Distress	MIXTURE	dj TAKA Remixed by TaQ	125	7	10	-	-	9	11	-	-	691	937	-	-	993	1254	-	-
10	Dreamin' Sun	ELECTRO POP	Yu Takami	152	5	7	8	-	5	9	10	-	574	947	1066	-	627	1183	1230	-
10	e-motion 2003 -romantic extra-	TRANCE	e.o.s. Remixed by dj TAKA	145	6	8	10	-	8	10	-	-	671	824	1001	-	715	978	-	-
10	ECHOES	TECHNO	DRAGOON	140	4	5	8	-	4	7	0	-	475	589	1028	-	463	760	1087	-
10	FESTA DO SOL	LATIN GROOVE	Mt.Circle	130	3	6	8	-	3	7	-	-	342	642	859	-	342	642	-	-
10	fun	FUNK SHUFFLE	Mr.T	100-200	4	7	0	-	4	7	-	-	311	586	950	-	311	586	-	-
10	Golden Horn	TURKISH PIANO'N'BASS	Osamu Kubota	160	3	8	9	-	3	8	11	-	359	646	763	-	359	646	853	-
10	Honey	POPS	good-cool	118	4	5	-	-	6	8	-	-	426	564	-	-	623	753	-	-
10	HYPER EUROBEAT(2DX style)	EUROBEAT	NAOKI feat.PAULA TERRY	152	5	8	10	-	6	8	-	-	557	843	990	-	604	832	-	-
10	I can fly.I've got reason	EXTREME GRANGE	Yu Takami	88	4	7	9	-	5	7	10	-	312	559	716	-	329	562	966	-
10	I Was The One(80'S EUROBEAT STYLE)	EUROBEAT	good-cool Remixed by NAOKI	142	4	6	7	-	4	6	8	-	397	685	727	-	439	518	725	-
10	I'm In Love Again-Y&Co. EURO MIX-	EUROBEAT	dj TAKA Remixed by Y&Co.	150	3	6	9	-	4	6	-	-	365	654	897	-	368	654	-	-
10	Karma	DRUM'N'BASS	TaQ	200-222	6	9	10	-	8	11	12	-	668	839	925	-	797	1085	1267	-
10	Let The Snow Paint Me -Y&Co. Remix-	TRANCE	Sana Remixed by Y&Co.	136	5	6	10	-	5	8	9	-	423	644	910	-	420	662	989	-
10	Let's say Hello!	LOLIPOP	Takuma Saiki	130	3	6	7	-	4	7	9	-	428	654	841	-	434	637	853	-
10	lights	SOUL	flare	142	3	6	8	-	7	9	10	-	357	753	912	-	635	927	995	-
10	Logic Board	TECHNO	dj nagureo	130	5	8	11	-	6	8	12	-	529	907	1173	-	529	906	1697	-
10	LOVE ? SHINE	J-HAPPY HARDCORE	小坂りゆ	177	5	9	10	-	4	7	9	-	433	921	1046	-	427	673	960	-
10	LOVE IS DROWING	FORKTRONICA	SLAKE feat.EMIKO	140	3	6	0	-	4	6	0	-	246	487	771	-	378	484	771	-
10	lower world	TECHNO	D.J.SETUP	155	6	9	10	-	7	10	12	-	706	979	1144	-	705	981	1254	-
10	Make A Difference	GOSPEL	Lala Moore with CoCoRo*Co	130	5	10	10	-	5	9	11	-	445	859	1155	-	441	866	1202	-
10	MARIA (I believe… )	EUROBEAT	NAOKI feat.PAULA TERRY	158	4	8	9	-	4	8	9	-	375	804	983	-	375	861	983	-
10	moon_child	POST ROCK	少年ラジオ	130-160	5	10	12	-	4	11	12	-	533	1026	1300	-	510	1049	1661	-
10	one or eight	HARDCORE RAVE	sampling masters AYA	155	7	10	12	-	7	8	10	-	695	985	1177	-	632	790	1110	-
10	OVER THE CLOUDS-Flying Grind mix-	HOUSE	Lala Moore Remixed by Flying Grind	128	4	5	-	-	4	5	-	-	388	484	-	-	439	561	-	-
10	PARANOIA survivor MAX	JUNGLE MIXTURE	290	73-290	5	8	9	-	5	7	-	-	448	662	754	-	448	661	-	-
10	POWER DREAM	TRANCE	PINK PONG	142	4	8	10	-	5	8	8	-	393	818	939	-	581	818	879	-
10	Prelude	TRANCE	NAOKI underground	135-140	5	6	10	-	4	6	-	-	442	707	1034	-	441	707	-	-
10	quasar	TRANCE	OutPhase	155	6	9	11	-	7	11	12	-	591	901	1161	-	710	1056	1562	-
10	Quickening	PSYCHEDELIC	dj TAKA	150	5	9	10	-	5	7	10	-	478	875	1062	-	440	620	1044	-
10	Really Love	R&B	大部真由美	100	4	6	10	-	4	10	-	-	333	506	898	-	333	861	-	-
10	RISLIM-Remix-	ELECTRO 2 STEP	ric Remixed by Hisashi Nawata	132	4	6	11	-	6	9	12	-	405	508	959	-	521	817	1151	-
10	rottel-the-Mercury	GABBA	sampling masters MEGA	200	6	9	10	-	7	9	11	-	503	963	1137	-	634	924	1132	-
10	Silvia Drive	HAPPY HANDBAG	dj TAKA feat.Noria	129	4	8	9	10	7	10	11	-	429	790	1049	1286	687	946	1364	-
10	SNOW	DRUM'N'BASS	RAM	180	5	7	10	-	5	8	10	-	534	704	1038	-	598	762	1037	-
10	STAR FIELD	TRANCE	SADA	140	3	8	9	-	6	8	-	-	351	806	947	-	351	793	-	-
10	Sweet Sweet ? Magic	HAPPY HARDCORE	jun	180	5	8	10	-	5	9	11	-	509	784	1032	-	519	786	1055	-
10	SWEETEST SAVAGE	HIPHOP	ASLETICS	114	4	7	8	10	6	7	8	-	335	704	755	930	551	702	751	-
10	SWITCH	TECHNO	RAM	135	5	6	9	-	6	7	9	-	537	662	880	-	614	780	1001	-
10	The Biggest Roaster	FILTER HOUSE	D.J. Spugna	135	3	6	0	-	4	6	-	-	314	529	583	-	314	529	-	-
10	The end of my spiritually	ELECTRONICA	EeL	110	4	6	7	-	5	6	8	-	470	600	656	-	555	642	809	-
10	traces-tracing you mix-	2 STEP	TaQ Remixed by kors k feat. U	136	4	6	-	-	6	9	-	-	516	729	-	-	726	973	-	-
10	Two DAYS OF LOVE	EUROBEAT	tiger YAMATO with マイク吉川 feat. ma-sa	150	5	7	8	-	5	8	10	-	425	689	932	-	424	733	1023	-
10	u gotta groove-extend joy style-	EPIC HOUSE	dj nagureo Remixed by Mr.T	124	3	6	8	-	2	6	10	-	264	502	727	-	264	499	873	-
10	WANNA TELL THAT WORD	US HARD HOUSE	SADA	132	5	7	0	-	5	7	0	-	396	699	860	-	435	587	1066	-
10	Your Body	HOUSE	good-cool feat. Andrea L.Hopkins	125	5	6	9	-	5	7	-	-	528	688	1136	-	628	807	-	-
10	ライオン好き	ボデー	AKIRA YAMAOKA	146	3	5	7	-	3	6	-	-	329	600	755	-	329	614	-	-
10	昭和企業戦士荒山課長	テクノチョップ	AKIRA YAMAOKA	132	3	6	7	-	4	7	-	-	399	752	818	-	399	767	-	-
10	真夏の花・真夏の夢	HOUSE	Sana	130	4	6	9	-	5	8	10	-	420	603	749	-	580	771	961	-
11	1st Samurai	お江戸テクノ	sampling masters MEGA	175-200	7	10	11	-	7	10	12	-	546	1016	1383	-	729	1016	1455	-
11	5.8.8.	PIANO AMBIENT	dj nagureo	95	2	4	5	-	1	4	5	-	223	400	534	-	223	400	534	-
11	A-JAX(3-WAY MIX)	GAME MUSIC	Mr.T	62-224	4	8	10	-	4	8	10	-	428	680	1066	-	428	680	1066	-
11	ALIEN TEMPLE	PSYCHEDELIC TRANCE	PINK PONG	145	5	7	8	-	5	8	10	-	505	839	1021	-	649	954	1084	-
11	ASTRAL VOYAGE	DREAM TECHNO	EeL	136	5	6	9	-	5	9	10	-	510	727	971	-	523	731	1087	-
11	BABY LOVE	ITALO POP	Noria	160	6	7	10	-	6	7	11	-	598	865	1089	-	596	779	1159	-
11	Back Into The Light	2STEP POP TRANCE	Sota Fujimori	144	6	7	10	-	6	9	10	-	602	835	1086	-	621	828	1160	-
11	Boundary	ROCOCO TEK	SPARKER	160	4	9	9	-	5	9	9	-	440	930	1031	-	521	967	967	-
11	CARRY ON NIGHT(English version)	EUROBEAT	platoniX (EURO style)	158	5	7	9	-	5	8	10	-	510	702	1037	-	522	738	1088	-
11	Changes(10th)	PSYCHEDELIC TRANCE	TaQ	155	6	9	-	-	7	10	-	-	681	986	-	-	846	1079	-	-
11	CHOO CHOO TRAIN(dnb mix)	J-REVIVAL	SLAKE feat.MIKA	170	3	8	9	-	4	8	10	-	288	570	689	-	441	584	863	-
11	COSMIC RAISE	ELECTRONICA	Toshiji Katoh	129	3	6	10	-	3	6	-	-	381	632	885	-	381	632	-	-
11	Daisuke	EUROBEAT	Y&Co.	157	6	8	10	-	5	8	11	-	613	850	1205	-	660	858	1208	-
11	Debtty Daddy	ETHNO HARDCORE	sampling masters AYA	155	5	9	11	-	5	8	11	-	533	1008	1371	-	533	1008	1607	-
11	desolation	PIANO BALLADE	Mr.T	72	2	4	5	-	3	4	-	-	245	331	386	-	245	386	-	-
11	DoLL	HYPER J-POP FOUR	ＴЁЯＲＡ	170	5	6	7	-	6	7	9	-	478	626	810	-	478	645	923	-
11	Don't forget	J-POP	中山結衣	160	4	5	7	-	4	6	8	-	422	587	826	-	422	587	817	-
11	Drop on the floor	HOUSE	good-cool	130	4	7	8	-	6	7	10	-	426	866	945	-	571	869	1010	-
11	EXE	ELECTROSHOCK	Mr.T	158	4	8	10	-	4	8	-	-	448	829	1131	-	450	854	-	-
11	Feedback	BREAK BEATS	Audio Highs	140	5	8	10	-	5	10	10	-	548	836	1010	-	550	838	984	-
11	FEEL IT	DRUM'N'BASS	RAM	180	5	9	10	-	5	9	10	-	474	888	1013	-	573	1002	1119	-
11	Freezing atmosphere	NATURAL SOUND	Twin AmadeuS	135	4	6	9	-	4	8	10	-	416	585	775	-	418	586	776	-
11	GHOST REVIVAL	GOA TRANCE	L.E.D.	148	5	9	10	-	4	9	12	-	466	1049	1311	-	466	1049	1409	-
11	GRADIUS -FULL SPEED-	GAME MUSIC	Mr.T	160-220	4	8	10	-	3	7	11	-	385	643	1074	-	385	643	1074	-
11	HI SCHOOL DREAM	TRANCE	PINK PONG	145	5	7	10	-	5	10	10	-	471	729	915	-	597	911	1011	-
11	HIGH	RAVE	RAM	180	5	9	9	-	6	9	10	-	470	975	1088	-	692	945	1233	-
11	Innocent Walls	TECHNO	TaQ	155	8	12	12	-	8	10	12	-	847	1281	1446	-	855	1140	1553	-
11	JAM	J-REVIVAL	TAKA with Junpei&三上	225	5	7	9	-	6	10	12	-	541	761	922	-	600	923	1455	-
11	Let's run	MEDIUM WAVE	Mitsuto Suzuki	133	3	5	0	-	2	4	0	-	254	402	765	-	254	393	761	-
11	LIMITED	TECHNO	SLAKE	150	3	9	9	-	3	7	8	-	333	677	753	-	401	717	880	-
11	Love Is Eternity	TRANCE	kors k	140	6	9	11	-	6	10	12	-	622	1016	1215	-	604	1038	1417	-
11	LOW	RAVE	RAM	160	4	8	9	-	5	8	10	-	346	767	881	-	614	767	957	-
11	Lucy	DANCE POP	ELE BLOCK	156	4	9	11	-	4	10	-	-	485	903	1167	-	484	908	-	-
11	Narcissus At Oasis	ARTCORE	Ryu☆	170	4	10	10	-	4	10	11	-	392	807	838	-	384	771	830	-
11	NO DOUBT GET LOUD	HIP HOP	ASLETICS	100	2	6	8	-	4	5	7	-	235	484	502	-	397	481	634	-
11	No.13	PROGRESSIVE BAROQUE	TAKA respect for J.S.B.	172	8	10	11	-	7	10	12	-	855	1376	1607	-	778	1185	1639	-
11	One More Lovely	Happy	Risk Junk	200	5	9	12	-	4	10	12	-	439	832	1452	-	444	862	1557	-
11	pandora	TRANCE	dj TAKA feat.Tomomi	148	5	8	9	-	7	9	11	-	455	852	931	-	509	805	1040	-
11	PLATONIC-XXX	RB	platoniX (RB style)	98	4	6	8	-	5	8	10	-	418	552	747	-	443	583	996	-
11	R2	RAVE	tiger YAMATO	160	5	7	9	-	5	8	10	-	531	727	1110	-	557	755	1143	-
11	rainbow rainbow	HAPPY HARDCORE	Ryu☆	177	7	10	11	-	7	9	11	-	799	1156	1377	-	815	1087	1400	-
11	Ready To Rockit Blues	NU JAZZ	SLAKE	150	3	6	9	-	5	7	9	-	298	533	719	-	548	665	823	-
11	Rise'n Beauty	TRANCE	Sota feat. Cyborg Akemi	144	7	9	10	-	7	10	11	-	764	917	1279	-	755	1168	1646	-
11	scherzo	PIANO AMBIENT	Osamu Kubota	130	3	8	9	-	3	8	-	-	321	765	835	-	321	765	-	-
11	SCORE	TECH HOUSE	DJ Remo-con	140	6	7	0	-	5	6	0	-	601	829	1055	-	597	828	1100	-
11	Shakin'31	BREAK BEATS	DJ Remo-con	132	5	7	0	-	6	7	0	-	638	789	983	-	646	799	1051	-
11	SHOOTING STAR	J-POP	小坂りゆ	140	7	8	9	-	6	9	11	-	651	855	1146	-	624	858	1178	-
11	Smell Like This	TRANCE	Y&Co.	145	5	7	8	-	6	8	9	-	526	685	852	-	532	676	894	-
11	SPACE FIGHT	戦艦テクノ	AKIRA YAMAOKA	139	3	8	11	-	6	8	11	-	328	768	1134	-	519	765	1190	-
11	Think of me	NORTHERN EUROPE	good-cool feat.Sana	100	2	5	7	-	3	5	7	-	281	399	753	-	280	399	753	-
11	どんなときも。	J-REVIVAL	Mr.T と Brother Hiro	160	3	6	9	-	3	8	-	-	387	725	982	-	387	830	-	-
11	システムロマンス	ムートラ	ヒロシ＆チー子	148	4	7	8	-	4	8	-	-	458	901	1023	-	457	886	-	-
11	一途な恋 (HYPER J-EURO MIX)	J-REVIVAL	ＴЁЯＲＡ	150	4	6	8	-	5	8	10	-	413	621	794	-	429	637	824	-
11	雪月花	HARD HOUSE	Ryu☆	151	6	10	12	-	8	10	12	-	636	979	1287	-	867	1153	1411	-
12	AA	RENAISSANCE	D.J.Amuro	154	5	10	12	-	5	9	12	-	642	1386	1834	-	659	997	1739	-
12	AGEHA	HAPPY HARDCORE	Ryu☆	180	5	8	9	-	5	7	8	-	537	888	948	-	464	689	903	-
12	ANDROMEDA	PSYCHEDELIC GOA TRANCE	Sota Fujimori	150	5	8	11	-	4	9	11	-	517	973	1446	-	512	1109	1568	-
12	awakening	TRANCE	AKIRA YAMAOKA	143	5	7	10	-	5	7	9	-	553	750	866	-	546	746	873	-
12	Back to the Dance Floor	TRIBAL LOUNGE	DJ SIMON	126	4	5	9	-	3	5	-	-	371	596	1076	-	371	596	-	-
12	Be quiet	HARD DANCE	Ryu☆	150	5	9	11	-	6	8	11	-	559	894	1114	-	558	861	1055	-
12	believe...?	HAPPY	Nao Nakamura	135	4	6	8	-	3	6	-	-	378	691	909	-	378	691	-	-
